T,Tbar,mu,mubar,sw_end_t,sw_end_x,univ_point_t,univ_point_x,outcome,err_sw_t,err_sw_x,err_tuniv
45,180,0.022222222222222223,0.00555555555556,29.9364710763,0.96541350655,667.3004250639661,0.859250430108,4.73705985982021,-6.49983675798e-15,-9.66831711971e-16,4.83879603053e-12
45,179,0.022222222222222223,0.00558659217877,29.925298934,0.965235169555,667.3834124221297,0.858656069207,4.71820667036098,-1.87943852562e-16,4.53940088058e-14,-3.74858477592e-12
45,178,0.022222222222222223,0.00561797752809,29.9140163531,0.965054979528,667.466798873358,0.858056588003,4.69923097717345,3.62504951852e-13,-1.87964222915e-14,6.04863381604e-12
45,177,0.022222222222222223,0.00564971751412,29.902622256,0.964872907525,667.5506025934098,0.857451850362,4.68013174000348,-5.08789437132e-13,-2.43864558597e-12,3.60261820376e-12
45,176,0.022222222222222223,0.00568181818182,29.891111515,0.964688924096,667.6347825562168,0.856842005075,4.66090791058967,-6.62446876232e-15,1.47113218711e-15,-2.23593366044e-12
45,175,0.022222222222222223,0.00571428571429,29.8794849978,0.964502999111,667.7193888099285,0.856226760304,4.64155843247328,-4.46138130775e-13,-9.75870164679e-16,-3.43128303548e-12
45,174,0.022222222222222223,0.00574712643678,29.8677393386,0.964315101912,667.804409861414,0.855606120353,4.62208224093001,6.52696981732e-15,8.65374374297e-14,2.73031597331e-12
45,173,0.022222222222222223,0.00578034682081,29.8558721971,0.964125201174,667.8898518458344,0.854980003314,4.60247826309180,-1.36675758826e-14,-1.74137778943e-15,1.82572568175e-11
45,172,0.022222222222222223,0.00581395348837,29.8438808871,0.963933264987,667.9757176607727,0.854348342052,4.58274541765685,1.02147172662e-13,8.19013062285e-15,-2.0310975124e-12
45,171,0.022222222222222223,0.00584795321637,29.8319686794,0.963739146153,668.0609421715709,0.85371151225,4.56288239096564,-2.32894725608e-14,-1.76610381409e-14,-3.34612719477e-12
45,170,0.022222222222222223,0.00588235294118,29.819959544,0.963542906652,668.147479681627,0.853069056152,4.54288853151081,-3.52193755458e-14,-8.70044789788e-16,-1.93503546519e-12
45,169,0.022222222222222223,0.00591715976331,29.8078310881,0.963344523299,668.2344506133543,0.852420841023,4.52276251446855,7.62414571155e-14,-2.57070547311e-13,-5.66800079094e-13
45,168,0.022222222222222223,0.00595238095238,29.7955809909,0.963143960742,668.3218547174769,0.851766811337,4.50250322699317,-3.2290095573e-13,8.74821247906e-15,1.19258596054e-12
45,167,0.022222222222222223,0.0059880239521,29.7832575972,0.962941182657,668.4104494923168,0.851103094755,4.48210954872350,-1.3580444288e-11,-1.26511998506e-10,-1.5704451628e-14
45,166,0.022222222222222223,0.00602409638554,29.7707083336,0.962736152919,668.4979934446137,0.850440920587,4.46158035082194,7.28748327027e-13,4.83972350023e-15,8.11196596007e-13
45,165,0.022222222222222223,0.00606060606061,29.758081255,0.962528833093,668.5867370803883,0.849768895119,4.44091449825540,-7.70970294916e-14,-1.83501217732e-13,-1.46156697856e-12
45,164,0.022222222222222223,0.00609756097561,29.7453236431,0.962319185019,668.6759338466443,0.84909071689,4.42011084778616,-1.97254726709e-14,-1.88068289446e-15,2.30118354927e-12
45,163,0.022222222222222223,0.00613496932515,29.732433117,0.96210716943,668.7655920393343,0.848406281512,4.39916824897535,-2.31261910519e-14,-1.926084995e-15,-4.38867345243e-12
45,162,0.022222222222222223,0.00617283950617,29.7194068519,0.961892746269,668.8557158122668,0.847715504345,4.37808554431669,-2.19343990721e-14,-6.50590533268e-15,1.35803694679e-12
45,161,0.022222222222222223,0.00621118012422,29.713649904,0.961675836505,669.0577023723179,0.84644465562,4.35687059728250,-2.18318510868e-09,-1.94682740811e-08,9.6512971226e-12
45,160,0.022222222222222223,0.00625,29.7497185188,0.961456416611,669.8569959408942,0.841923289063,4.33600837368836,-9.5955161549e-09,-1.49999841725e-07,-7.47471529117e-13
45,159,0.022222222222222223,0.0062893081761,29.7319668824,0.961234477341,667.7255901562867,0.852549154599,4.31536025454832,5.00449141511e-09,2.34785444727e-07,-2.64242794312e-12
45,158,0.022222222222222223,0.00632911392405,29.6653315382,0.961009916112,669.2145849293619,0.844921063292,4.29233033092320,-1.29127686572e-08,1.17671884984e-09,-1.77224172837e-11
45,157,0.022222222222222223,0.00636942675159,29.6604428319,0.960782768815,669.4402418332392,0.843495989473,4.27054126769904,-1.62618755125e-08,-2.27858017035e-08,-5.48733974925e-12
45,156,0.022222222222222223,0.00641025641026,29.6770932191,0.960552993749,669.9777704429813,0.840347698496,4.24882986198035,-1.95360431141e-08,-1.05919699226e-07,-8.90010287691e-13
45,155,0.022222222222222223,0.00645161290323,29.6222971815,0.96032048529,669.4756311513141,0.842824813307,4.22648551084007,-2.02272251478e-08,4.49971727937e-09,-8.50202547253e-12
45,154,0.022222222222222223,0.00649350649351,29.6138316854,0.96008534417,669.6562662281472,0.841618126679,4.20424183658775,-1.6471859826e-08,-1.13562411996e-08,-4.62384991406e-12
45,153,0.022222222222222223,0.00653594771242,29.5958555668,0.959847408235,669.697402810766,0.841149236269,4.18184222439259,-1.27581950956e-08,-1.62215230098e-09,-1.17910889386e-12
45,152,0.022222222222222223,0.00657894736842,29.6030929894,0.959606709501,670.1167472380961,0.838623783382,4.15937737663265,-5.88485727596e-09,-6.26383610734e-08,1.14588893929e-13
45,151,0.022222222222222223,0.00662251655629,29.5540120188,0.959362758627,669.6969699819131,0.840642968856,4.13661595051841,-9.54798776154e-09,3.3581728127e-08,3.61949359373e-12
45,150,0.022222222222222223,0.00666666666667,29.5503361203,0.959116643389,669.9757197518619,0.838893666154,4.11373468707184,-5.35954850006e-14,-1.336784568e-14,-1.01031648325e-11
45,149,0.022222222222222223,0.00671140939597,29.5348092478,0.958867135731,670.0727115689991,0.838110219786,4.09072237636295,3.48056703342e-14,8.46172091747e-14,2.3215804279e-13
45,148,0.022222222222222223,0.00675675675676,29.5195183932,0.958614264178,670.1700526401098,0.837320043445,4.06755318027420,-8.38645987e-15,2.12945948948e-15,8.84503928433e-12
45,147,0.022222222222222223,0.00680272108844,29.504057069,0.958358248378,670.2679483381712,0.836521976187,4.04422581042365,-9.95867760171e-13,-2.21236482631e-15,-2.87245921493e-13
45,146,0.022222222222222223,0.00684931506849,29.4884224143,0.958099029071,670.3664054313855,0.835715894796,4.02073902878813,-2.21992444636e-13,-3.83078933511e-15,1.67927616257e-11
45,145,0.022222222222222223,0.00689655172414,29.4726114239,0.957836545358,670.4652053233402,0.834901675346,3.99709158429265,-1.8713660687e-12,-5.06967203648e-15,7.19030997937e-12
45,144,0.022222222222222223,0.00694444444444,29.456621102,0.95757073501,670.5644879128414,0.834079191767,3.97328224881323,5.53953279461e-15,5.14588089086e-16,-3.43780559575e-13
45,143,0.022222222222222223,0.00699300699301,29.4404483077,0.95730153402,670.6643454557069,0.833248314122,3.94930977794460,-6.16170559942e-15,-6.28406518213e-16,-5.30800403631e-12
45,142,0.022222222222222223,0.00704225352113,29.425477538,0.957027929953,670.7641500499118,0.832412409335,3.92517295204274,1.37467319056e-14,1.41910965031e-15,9.21235310258e-13
45,141,0.022222222222222223,0.00709219858156,29.4087357711,0.956751861086,670.8648334232522,0.831564988481,3.90087043889283,5.01323452254e-12,3.75514324804e-11,1.35039202043e-12
45,140,0.022222222222222223,0.00714285714286,29.3927549267,0.956471563448,670.9663167280602,0.830708975733,3.87640115552621,-1.14350329641e-13,-1.16292107599e-14,-2.23945861855e-12
