T,Tbar,mu,mubar,sw_end_t,sw_end_x,univ_point_t,univ_point_x,outcome,err_sw_t,err_sw_x
15,60.0,0.06666666666666667,0.0166666666667,14.2108227475,0.949968876607,696.4854045160591,0.840158029272,5.31287155731670,-4.21621982337e-08,-1.68115135522e-08,1.65978342181e-14
15,59.75,0.06666666666666667,0.0167364016736,14.2146295912,0.949785486031,696.8800416041083,0.836030617033,5.29061826823764,-3.97196339337e-08,-1.76227786803e-07,-1.3160444956e-12
15,59.5,0.06666666666666667,0.0168067226891,14.1961061326,0.949600636733,696.4682920260809,0.840010602897,5.26663763799190,-4.10902774562e-08,1.78875941345e-08,6.43235464892e-14
15,59.25,0.06666666666666667,0.0168776371308,14.1940399206,0.94941443849,696.6574802128746,0.837983811372,5.24347245483965,-4.16386775609e-08,-5.03058882632e-08,-6.2391064537e-13
15,59.0,0.06666666666666667,0.0169491525424,14.2302148456,0.949226893702,698.1147547923466,0.821637641527,5.23347053246359,-5.58651977374e-08,-7.35017526454e-07,5.07371922254e-14
15,58.75,0.06666666666666667,0.0170212765957,14.2355976524,0.949037956778,698.4985653170364,0.816653957471,5.21747031655238,-6.21315775126e-08,-9.28985051174e-07,1.17308940339e-12
15,58.5,0.06666666666666667,0.017094017094,14.1739760866,0.948847398423,696.7240494860092,0.836838729828,5.17333741010621,-4.36799471808e-08,-3.76114802598e-08,-1.95338190068e-12
15,58.25,0.06666666666666667,0.0171673819742,14.1660937585,0.94865545132,696.7058548102153,0.836858414762,5.14979448318087,-4.85018487135e-08,-1.53973675622e-08,8.63939336737e-11
15,58.0,0.06666666666666667,0.0172413793103,14.1585659178,0.948462122463,696.7016348447535,0.836736499553,5.12620430869679,-4.85734991383e-08,7.70242131396e-10,1.17207632488e-12
15,57.75,0.06666666666666667,0.017316017316,14.1612821229,0.948267359999,697.0741522924043,0.83276819851,5.10313741156835,-4.67037227005e-08,-1.52304265665e-07,1.82717729835e-12
15,57.5,0.06666666666666667,0.0173913043478,14.1294164579,0.948071049753,696.1541602737694,0.841633687124,5.08066501931861,-4.88090976618e-08,2.64929051232e-07,-3.74977826567e-13
15,57.25,0.06666666666666667,0.0174672489083,14.1513791842,0.947873220126,697.2611869007002,0.830461537888,5.05611794464766,-4.91791827439e-08,-2.1029492784e-07,2.50038878491e-12
15,57.0,0.06666666666666667,0.0175438596491,14.1731333565,0.947673908247,698.2443957506073,0.8189812303,5.04221259397703,-6.02575497609e-08,-6.87277553113e-07,5.67906832671e-13
15,56.75,0.06666666666666667,0.0176211453744,14.1398822226,0.947472976744,697.397856166921,0.828663641921,5.00866980621152,-5.06259196702e-08,-2.45585748921e-07,4.33014735179e-13
15,56.5,0.06666666666666667,0.0176991150442,14.1190829696,0.947270496824,696.9241805468009,0.833489316968,4.98318462914133,-5.04825903266e-08,-1.05268295155e-08,2.28983498829e-15
15,56.25,0.06666666666666667,0.0177777777778,14.1114933232,0.947066447066,696.9298913187412,0.833259406238,4.95909100570599,-5.12524259399e-08,1.94436810089e-09,-2.69206185122e-12
15,56.0,0.06666666666666667,0.0178571428571,14.107301799,0.946860792544,697.0644626077778,0.83171060197,4.93497480090617,-5.21897517936e-08,-4.4216758326e-08,-9.2932606055e-14
15,55.75,0.06666666666666667,0.0179372197309,14.1490684665,0.946653620422,698.7301793836109,0.812110147698,4.92775490583313,-6.91576278247e-08,-8.7910892559e-07,-9.76121961038e-13
15,55.5,0.06666666666666667,0.018018018018,14.0886886465,0.946444590947,696.9563205500261,0.832466267818,4.88641240078562,-5.433358834e-08,3.58574146541e-08,-2.18228907167e-12
15,55.25,0.06666666666666667,0.0180995475113,14.1045998004,0.946234036643,697.8200647408464,0.822985290516,4.86499393971448,-5.73896551295e-08,-3.61292264681e-07,1.30589983272e-14
15,55.0,0.06666666666666667,0.0181818181818,14.1049717476,0.946021765157,698.1074230362913,0.819464479046,4.84300075685664,-6.21116173197e-08,-4.93007518518e-07,-6.38852859502e-12
15,54.75,0.06666666666666667,0.0182648401826,14.1171088604,0.945807898998,698.7592549359465,0.811180936333,4.82791087017743,-6.98685656385e-08,-8.32366600889e-07,-1.96925808993e-14
15,54.5,0.06666666666666667,0.0183486238532,14.0631314081,0.945592115525,697.2013767184807,0.829235578418,4.78842001605655,-5.69321567782e-08,-1.43061601625e-08,-7.49528911159e-13
15,54.25,0.06666666666666667,0.0184331797235,14.0586422823,0.945374670753,697.3392669229607,0.827615062772,4.76383203213102,-5.88456771287e-08,-6.29970517333e-08,1.58853485921e-12
15,54.0,0.06666666666666667,0.0185185185185,14.0564018618,0.945155515011,697.5586789394043,0.825068722691,4.73951887287766,-5.78679655929e-08,-1.52855134866e-07,-1.53327350816e-12
15,53.75,0.06666666666666667,0.0186046511628,14.0615559431,0.944934532571,698.0377276538155,0.819488834707,4.71726637919396,-6.20920251317e-08,-3.76731263913e-07,-9.84344550314e-13
15,53.5,0.06666666666666667,0.018691588785,14.0329660235,0.944711725468,697.3047499982134,0.827424711751,4.68928117904067,-5.99725441582e-08,1.77175072717e-09,1.79682657642e-14
15,53.25,0.06666666666666667,0.018779342723,14.0144217936,0.944487131251,696.9097427706905,0.831259118912,4.66523980441303,-6.02159439511e-08,2.02196230103e-07,3.18911563824e-13
15,53.0,0.06666666666666667,0.0188679245283,14.0195318793,0.944260645211,697.4315206149547,0.825718837136,4.63928996190199,-6.04906391787e-08,-2.54178798247e-08,1.04571906689e-12
