c,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x,err_univ
0.055,0.706410306,20.6691647,0.932621714,685.6430028,0.799373956,-2.01E-14,-5.49E-14,1.99E-11
0.056,0.648392051,20.65907153,0.932930309,685.4425193,0.801059776,-2.01E-16,-5.06E-17,9.82E-12
0.057,0.595082889,20.64897556,0.933238487,685.2424089,0.802723225,-4.50E-16,-7.84E-17,6.47E-12
0.058,0.546105941,20.63956638,0.933544988,685.0423772,0.804367199,1.29E-15,2.17E-16,-8.70E-14
0.059,0.501113961,20.63076544,0.933849976,684.8422764,0.805991883,-1.27E-15,-3.84E-17,-3.34E-13
0.06,0.459787065,20.62257302,0.934153467,684.6419171,0.807597724,9.81E-13,2.16E-14,-6.02E-13
0.061,0.421830637,20.6150346,0.934455393,684.441262,0.809185294,-2.63E-13,-2.44E-13,1.02E-12
0.062,0.38697337,20.60814313,0.934755783,684.2403006,0.810754995,-1.23E-15,-3.52E-16,-1.46E-12
0.063,0.354965447,20.602841,0.935052881,684.038608,0.81231018,-2.32E-13,-7.62E-13,-5.20E-13
0.064,0.325576892,20.59727839,0.935350182,683.8370319,0.813845373,3.72E-14,4.25E-15,1.65E-12
0.065,0.298596011,20.59308997,0.935644506,683.634851,0.815366329,1.98E-12,3.95E-12,2.71E-11
0.066,0.273827938,20.58919204,0.935938138,683.431967,0.81686943,-1.92E-14,-4.15E-14,2.92E-12
0.067,0.251093383,20.58593402,0.936230326,683.2292326,0.81835653,-1.14E-12,-1.16E-14,-7.94E-12
0.068,0.230227382,20.58331246,0.936521092,683.0243418,0.819827873,-5.85E-14,-2.53E-13,-4.26E-13
0.069,0.211078132,20.5813239,0.936810459,682.8199991,0.821283789,3.83E-15,4.40E-16,-1.35E-12
0.07,0.193506012,20.57996488,0.937098449,682.615136,0.82272457,-1.58E-14,-2.51E-14,-2.70E-13
0.071,0.177382603,20.5792323,0.937385085,682.4097537,0.824150522,-4.98E-15,-5.67E-16,-2.68E-12
0.072,0.1625898,20.57912338,0.937670387,682.2038321,0.825561934,3.41E-14,9.50E-14,-4.80E-13
0.073,0.149161188,20.63149329,0.937954289,683.3880645,0.817642654,-1.85E-08,-4.90E-07,-1.30E-13
0.074,0.13657036,20.58104605,0.938236741,681.8009395,0.828276122,-2.22E-08,-3.54E-09,4.78E-13
0.075,0.125250382,20.62960993,0.938518199,682.8630051,0.821380788,-3.04E-08,-4.42E-07,2.73E-12
0.076,0.114680076,20.58759646,0.938798195,681.4550896,0.830575929,-3.18E-08,-2.67E-08,2.42E-13
0.077,0.105079057,20.59698197,0.93907712,681.4267813,0.830825538,-3.30E-08,-8.61E-08,6.82E-12
0.078,0.096270498,20.59772133,0.939354761,681.1384397,0.832648599,-3.82E-08,-5.96E-08,-1.16E-13
0.079,0.088196572,20.60459935,0.939631207,681.0050167,0.833519181,-4.38E-08,-8.42E-08,-1.33E-12
0.08,0.080829327,20.63755559,0.939906531,681.5731962,0.830056489,-5.11E-08,-3.42E-07,-2.44E-12
0.081,0.074009569,20.6217709,0.940180635,680.7806055,0.834980202,-5.12E-08,-1.47E-07,-1.29E-11
0.082,0.06780182,20.64163618,0.940453604,680.9565927,0.833967602,-5.87E-08,-2.72E-07,-2.33E-11
0.083,0.062078113,20.62344088,0.940725459,680.0457371,0.839366051,-5.84E-08,-4.66E-08,1.51E-13
0.084,0.056971727,20.70546385,0.940996286,681.8691136,0.828119462,-8.47E-08,-7.18E-07,-4.66E-12
0.085,0.052180131,20.7168782,0.941265931,681.7551574,0.828855097,-9.08E-08,-7.46E-07,2.80E-12
0.086,0.047669441,20.64685522,0.941534463,679.3988241,0.843145487,-6.56E-08,-4.47E-08,-1.55E-12
0.087,0.043648902,20.66502452,0.941801982,679.444832,0.842941318,-6.85E-08,-1.25E-07,-5.94E-14
