T,Tbar,mu,mubar,sw_end_t,sw_end_x,univ_point_t,univ_point_x,outcome,err_sw_t,err_sw_x
74,4,0.0135135135135,0.25,21.1677507748,0.463657156276,697.232600908653,0.266634679722,1.27283496942983e-5,-7.79270005187e-12,-7.99853763977e-13,-3.1918911958e-16
74,6,0.0135135135135,0.166666666667,22.8761576358,0.544479334089,694.7665246925714,0.31420617263,7.39539247924994e-5,-3.27029413749e-12,-3.05103145559e-13,6.97801538774e-12
74,8,0.0135135135135,0.125,24.2442591234,0.601312673321,692.6629536890955,0.35180886752,0.000252838881520521,-1.77384556867e-08,1.82740674751e-09,2.01274691358e-11
74,10,0.0135135135135,0.1,25.3632246388,0.644169157483,690.8343839491239,0.383175246419,0.000635838264486425,-1.74262529049e-12,-8.35634671044e-12,-3.32210821352e-12
74,12,0.0135135135135,0.0833333333333,26.3006128328,0.677947051197,689.2081496990638,0.410222552911,0.00131112287339378,-9.13896421478e-12,2.39113422788e-12,9.30403323829e-13
74,14,0.0135135135135,0.0714285714286,27.124697322,0.705400188188,688.2834937230795,0.429525050928,0.00235696568215966,-5.95683552514e-08,-5.75876573984e-07,-8.14848188924e-13
74,16,0.0135135135135,0.0625,27.7971855992,0.728255611392,686.3956806644118,0.455345281342,0.00383130566286633,5.914079312e-12,3.86888681843e-12,-9.88295556503e-12
74,18,0.0135135135135,0.0555555555556,28.4178745784,0.747603977775,685.3247131684873,0.473190680123,0.00577730977084769,-7.92345570816e-08,-1.55391442016e-07,-5.89622795033e-12
74,20,0.0135135135135,0.05,28.9534321041,0.764249094901,683.9964427066622,0.492207597312,0.00821603327634042,-5.35862675288e-12,-4.19942633328e-13,3.08921777048e-11
74,22,0.0135135135135,0.0454545454545,29.4963597338,0.778726978692,684.0330007531622,0.498818247718,0.0111651575474712,-1.48888906366e-07,-9.1621996158e-07,1.63759214522e-11
74,24,0.0135135135135,0.0416666666667,29.8787868512,0.791465930405,681.8917352769097,0.523323022016,0.0145845517615792,-3.71302484202e-12,-2.89624366788e-13,5.2822884955e-12
74,26,0.0135135135135,0.0384615384615,30.2796796631,0.802745987327,680.935568380844,0.537141438341,0.0184904871548945,-1.71871236029e-07,-6.75772679138e-09,4.8297199573e-12
74,28,0.0135135135135,0.0357142857143,30.6832346456,0.812836439425,680.7508965022148,0.544045288073,0.0228557694935753,-4.36206542998e-08,-5.08261147236e-07,-1.42451987706e-11
74,30,0.0135135135135,0.0333333333333,30.989989748,0.821902051809,679.3491817930629,0.560590211943,0.0276281737511737,-2.01041333357e-07,-1.38050025314e-07,-1.50894990947e-11
74,32,0.0135135135135,0.03125,31.3676698317,0.830108731485,679.7094884250859,0.562039421201,0.0328351409011610,-1.89339536221e-07,-8.96301365079e-07,-3.02521896423e-11
74,34,0.0135135135135,0.0294117647059,31.5815650715,0.837567151671,677.6725146308156,0.58313114648,0.0383244584020361,-2.4231072478e-07,-1.00330798492e-07,5.4934320981e-12
74,36,0.0135135135135,0.0277777777778,31.8412139424,0.844387102228,676.8191813657776,0.593963063086,0.0441732521827785,-1.11156904074e-07,-4.88611101207e-08,6.02031619001e-12
