alpha,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x,err_univ
0.394,1.162018845,20.48315154,0.896743783,691.6736557,0.710052043,-8.79E-15,-1.67E-15,1.25E-12
0.395,1.154616805,20.49462358,0.896490134,691.6755054,0.709666481,5.01E-14,-5.78E-15,6.32E-12
0.396,1.147320195,20.50845288,0.896238072,691.731208,0.708758905,-1.98E-08,-2.88E-08,-8.57E-13
0.397,1.140120209,20.5201108,0.895989286,691.7167792,0.708521862,-3.59E-09,-2.13E-08,-4.84E-12
0.398,1.133346269,20.55079709,0.895741801,692.2257672,0.703002876,-1.70E-08,-3.01E-07,7.52E-13
0.399,1.12602199,20.54610536,0.895496522,691.7167023,0.707781813,-2.07E-08,-2.20E-08,-9.47E-12
0.4,1.119119231,20.55945604,0.895253459,691.7059485,0.707517079,-2.24E-08,-1.70E-08,-1.42E-11
0.401,1.112314792,20.57403613,0.895012592,691.716578,0.707038586,-2.21E-08,-2.41E-08,6.58E-12
0.402,1.105602571,20.58632858,0.894775527,691.6677913,0.707135978,-8.22E-14,2.52E-14,-1.00E-11
0.403,1.098988947,20.60400493,0.894536786,691.709287,0.70635874,-2.32E-08,-2.42E-08,-4.99E-12
0.404,1.092464234,20.61786682,0.894303057,691.6582573,0.706472164,-2.18E-13,-8.40E-14,-1.98E-12
0.405,1.086033754,20.63395242,0.894070778,691.6525972,0.706148276,-9.83E-14,9.52E-15,-1.63E-11
0.406,1.079694272,20.65102126,0.893839894,691.6459959,0.705832117,-4.68E-15,-8.15E-15,1.87E-12
0.407,1.073444706,20.66831865,0.893611637,691.6385666,0.705521392,1.04E-12,-6.73E-15,7.24E-13
0.408,1.067283988,20.6861342,0.893385566,691.6302817,0.705216955,1.78E-14,-4.00E-15,4.01E-12
0.409,1.061211044,20.70445049,0.89316173,691.6211947,0.704918702,-3.06E-12,-2.51E-12,-1.17E-12
0.41,1.055224811,20.72374452,0.892939387,691.6111326,0.704628185,-3.09E-13,-2.78E-15,2.95E-13
0.411,1.049324235,20.74373255,0.892719016,691.6002003,0.704344394,5.61E-13,1.06E-15,-1.84E-14
0.412,1.043508267,20.76432297,0.89250064,691.5877399,0.704073416,-5.48E-09,3.48E-10,7.70E-13
0.413,1.037776002,20.78497153,0.892284636,691.5634893,0.703910662,-1.58E-08,6.30E-09,-2.72E-12
0.414,1.032130388,20.80919871,0.892071338,691.6314615,0.702892249,-3.70E-09,-3.49E-08,-1.47E-11
0.415,1.026557628,20.82925447,0.891859762,691.5483963,0.703267849,-6.11E-09,-2.47E-10,1.09E-12
0.416,1.021071236,20.85353044,0.891650215,691.5732429,0.702648362,-1.17E-08,-2.03E-08,5.89E-13
0.417,1.015770103,20.8871715,0.89144283,691.8597934,0.699572234,-1.61E-08,-1.74E-07,-1.12E-12
0.418,1.010331554,20.90068951,0.891237538,691.5149809,0.702400854,-2.07E-08,-7.45E-09,1.40E-10
0.419,1.005136207,20.93348085,0.891034423,691.7342239,0.699984552,-2.32E-08,-1.26E-07,-3.46E-12
0.42,0.999902839,20.95138842,0.890833404,691.4735226,0.701980229,-2.60E-08,-5.47E-09,1.92E-12
0.421,0.995583761,21.00840883,0.890634567,692.3601034,0.693115075,-3.21E-08,-4.72E-07,6.65E-13
0.422,0.990945148,21.04277692,0.890437805,692.5414848,0.690888826,-3.68E-08,-5.79E-07,2.39E-12
0.423,0.984833311,21.03635762,0.890243105,691.5090881,0.700472782,-2.97E-08,-5.29E-08,8.95E-12
0.424,0.979989274,21.06918005,0.890050534,691.6089,0.699163274,-3.17E-08,-1.13E-07,6.83E-12
0.425,0.975253274,21.10338132,0.889860081,691.7254752,0.697705231,-3.21E-08,-1.81E-07,1.60E-12
0.426,0.970422929,21.12763832,0.889671682,691.507211,0.699275036,-3.30E-08,-8.67E-08,-2.09E-11
0.427,0.965726458,21.15327479,0.889485384,691.2984873,0.700692649,-3.29E-08,-1.79E-10,-8.79E-15
0.428,0.961145745,21.18066292,0.889301118,691.1136814,0.701859953,-3.54E-08,7.26E-08,8.71E-12
0.429,0.956655944,21.22737893,0.889118981,691.5204056,0.697946976,-3.36E-08,-1.30E-07,1.31E-12
0.43,0.952136792,21.25618369,0.888938713,691.3244397,0.699245647,-4.31E-08,-5.19E-08,-2.98E-12
0.431,0.947950172,21.30437485,0.888760786,691.7083591,0.695464838,-3.46E-08,-2.47E-07,-2.62E-11
0.432,0.943393864,21.32604824,0.888584718,691.2222352,0.699288472,-3.36E-08,-3.38E-08,1.49E-11
0.433,0.939116824,21.36078048,0.888410666,691.1151435,0.699776358,-3.47E-08,-1.68E-10,-1.75E-14
0.434,0.934909716,21.40075985,0.888238671,691.1430374,0.699123604,-3.24E-08,-2.84E-08,-2.43E-12
0.435,0.932545535,21.48611072,0.888068702,692.510696,0.686215378,-4.47E-08,-7.03E-07,2.79E-12
0.436,0.926674203,21.48040892,0.887900626,691.0808574,0.698802093,-2.92E-08,-3.31E-08,-6.74E-12
0.437,0.923105051,21.54372286,0.887734599,691.74378,0.692705365,-2.91E-08,-3.51E-07,7.64E-13
0.438,0.91867277,21.56317608,0.88757042,690.9669579,0.698880575,-2.75E-08,-1.78E-08,-5.41E-11
0.439,0.915511082,21.6367791,0.887408319,691.8794697,0.690671277,-2.73E-08,-4.46E-07,3.08E-13
0.44,0.911848145,21.68562121,0.887248122,691.959236,0.689541761,-2.30E-08,-4.99E-07,-3.12E-12
0.441,0.907125115,21.70201125,0.887089708,690.9738331,0.697549218,-1.66E-08,-7.50E-08,1.25E-11
0.442,0.903356782,21.74448754,0.886933365,690.7561033,0.698824174,-3.99E-09,-3.50E-09,-1.06E-12
0.443,0.900435353,21.82502855,0.88677831,691.7357668,0.690324107,-1.89E-08,-4.45E-07,3.59E-12
0.444,0.896023737,21.84340455,0.886625762,690.6480821,0.698773857,-1.89E-14,-3.30E-15,3.76E-12
0.445,0.892434626,21.89466091,0.886475411,690.5970923,0.698725754,1.64E-13,2.01E-14,1.92E-11
0.446,0.888895696,21.9475096,0.88632669,690.5421046,0.698685576,3.08E-14,5.41E-15,2.24E-12
0.447,0.885405719,22.00282181,0.886178256,690.4870701,0.698655791,4.34E-14,1.01E-13,-3.55E-13
0.448,0.881963685,22.05957281,0.886031803,690.4291397,0.698633289,-2.03E-13,-3.04E-13,6.02E-12
0.449,0.878568429,22.11789303,0.885887189,690.3694255,0.698618351,-5.67E-14,-9.50E-15,3.73E-12
0.45,0.875219397,22.17871366,0.885744119,690.3399708,0.698385714,-1.43E-08,-1.18E-08,5.09E-13
0.451,0.871951494,22.24662271,0.88560281,690.4976419,0.696815247,-2.26E-08,-9.35E-08,9.28E-13
0.3,2.523785959,20.9214466,0.927743797,688.6199124,0.771387827,-6.68E-14,-1.89E-14,-2.09E-13
0.299,2.548083432,20.9312932,0.928122189,688.3797485,0.773878866,-2.08E-08,7.46E-08,-1.19E-11
0.298,2.572580243,20.94980285,0.928502501,688.3599648,0.774378984,-7.88E-09,5.65E-08,4.64E-12
0.297,2.597341751,20.9722497,0.928883134,688.4325926,0.774050953,3.69E-14,9.67E-16,-1.19E-12
0.296,2.622407254,20.98935315,0.929264022,688.368892,0.77494574,-3.89E-11,1.48E-11,9.14E-12
0.295,2.647750035,21.00663259,0.929645269,688.3045344,0.775843587,2.07E-14,4.20E-16,2.41E-11
0.294,2.673372192,21.02394213,0.930027091,688.2394629,0.776744813,-2.71E-14,-2.70E-13,9.90E-12
0.293,2.699276211,21.04130816,0.930409414,688.1749501,0.777649196,-1.20E-14,-1.59E-15,5.89E-14
0.292,2.725464165,21.05983949,0.930790337,688.1074816,0.778561363,7.42E-15,8.84E-16,-3.25E-12
0.291,2.751938349,21.07756034,0.931173191,688.0406109,0.77947293,2.16E-14,3.06E-13,7.13E-13
0.29,2.778701153,21.09608199,0.931555218,687.9730213,0.780390675,2.94E-13,4.27E-13,-1.08E-12
0.289,2.805754922,21.11500452,0.931936999,687.9047816,0.781313053,1.54E-14,2.07E-13,4.28E-13
0.288,2.833101736,21.13395658,0.932319287,687.8363485,0.782238044,-6.95E-13,-1.93E-12,8.71E-13
0.287,2.860743842,21.15306401,0.932701748,687.7671004,0.783164084,-1.86E-09,-1.03E-10,-1.49E-11
0.286,2.888707225,21.16721093,0.933083862,687.575401,0.785136862,-3.58E-08,4.67E-08,-2.68E-13
0.285,2.91693841,21.1955068,0.933466581,687.7199355,0.784209965,-4.25E-08,-3.68E-08,-1.18E-12
0.284,2.945779314,21.22942752,0.933849293,687.986149,0.782166342,-5.94E-08,-1.70E-07,-4.94E-13
0.283,2.975826728,21.27161021,0.934232212,688.4192025,0.778500336,-7.51E-08,-3.75E-07,2.02E-14
0.282,3.003904543,21.27230723,0.93461527,687.9181373,0.783395483,-7.63E-08,-1.98E-07,1.44E-14
0.281,3.040797687,21.36652207,0.934998535,689.4053302,0.769369185,-1.14E-07,-8.67E-07,9.71E-13
0.28,3.063030497,21.30940833,0.935381753,687.7012396,0.785949387,-7.77E-08,-1.68E-07,3.54E-11
0.279,3.09294537,21.32369976,0.935765148,687.4870159,0.788131593,-7.13E-08,-1.13E-07,-2.71E-14
0.278,3.123663709,21.35387532,0.936148598,687.6343641,0.787154872,-6.39E-08,-1.98E-07,3.10E-12
0.277,3.156176747,21.40230541,0.936532088,688.1685482,0.782614303,-6.00E-08,-4.40E-07,-3.17E-12
0.276,3.1849682,21.37274598,0.93691555,686.9602352,0.793576607,-3.52E-08,-2.86E-10,-3.85E-13
0.275,3.216337948,21.39234249,0.937299,686.8517392,0.794797542,-1.82E-08,1.09E-08,5.05E-12
0.274,3.248487381,21.43710183,0.937682226,687.3207623,0.791131951,-3.67E-09,-1.91E-07,-2.20E-13
0.273,3.280052451,21.43522249,0.938066196,686.7254182,0.79648388,-1.12E-13,-5.71E-16,6.80E-13
0.272,3.312404879,21.45702126,0.938448115,686.6457362,0.797458887,-7.08E-15,-5.86E-16,1.99E-14
0.271,3.345090151,21.47896987,0.93882984,686.5654175,0.798436572,-1.14E-15,-1.29E-15,7.02E-13
0.27,3.378204447,21.51099239,0.939211521,686.7206314,0.797481032,-6.80E-09,-8.32E-08,-5.16E-12
0.269,3.411469406,21.52346885,0.93959306,686.4180798,0.800280786,-1.48E-08,-5.00E-09,4.62E-12
0.268,3.445419125,21.56158753,0.939974857,686.7062508,0.798230198,-7.32E-09,-1.35E-07,1.48E-13
0.267,3.479207286,21.56641136,0.940357462,686.238651,0.802364645,9.55E-15,1.09E-15,5.95E-13
0.266,3.513592404,21.58984678,0.940736839,686.1609084,0.803306901,-1.37E-08,-2.12E-09,4.59E-12
0.265,3.548324487,21.61143614,0.941118926,686.0708111,0.804345017,-3.27E-13,-6.77E-14,8.35E-13
0.264,3.58340608,21.63457858,0.941498497,685.9867998,0.805340495,-4.50E-12,5.76E-14,6.48E-12
0.263,3.619091033,21.64136439,0.941877213,685.5121972,0.809347609,-2.88E-08,1.27E-07,1.76E-12
0.261,3.694202322,21.76729501,0.942635858,687.1065035,0.79690614,-4.18E-08,-4.81E-07,1.32E-12
0.259,3.764145403,21.75064535,0.943393301,685.5524945,0.810344549,-7.72E-09,1.03E-10,1.09E-11
0.257,3.838974235,21.79785298,0.944148731,685.3747318,0.812355939,7.03E-15,8.37E-16,3.52E-15
0.255,3.915280483,21.84565197,0.944901879,685.193402,0.814377267,2.50E-14,2.78E-14,4.33E-13
0.252,4.032660995,21.92993053,0.94602628,685.1660758,0.815547023,-1.30E-08,-7.67E-08,-9.34E-13
0.25,4.112642692,21.96823227,0.946773736,684.7280761,0.819462909,-2.37E-16,-1.55E-16,4.36E-12
0.248,4.194280705,22.01745734,0.947519216,684.537559,0.821504319,-2.29E-12,-4.27E-13,7.35E-15
0.246,4.280171252,22.12541605,0.948259716,685.5659656,0.814273601,-1.57E-08,-3.74E-07,-1.36E-13
0.244,4.363048426,22.14986705,0.948994891,684.80644,0.820783039,-1.33E-07,-1.93E-07,4.66E-13
0.242,4.448753606,22.17905184,0.949731328,684.1199005,0.826449191,-1.03E-07,-4.84E-08,1.56E-12
0.24,4.536997589,22.24025416,0.950464877,684.1220114,0.827072121,-6.55E-08,-1.05E-07,2.82E-13
0.238,4.626462201,22.27556545,0.951195322,683.5369285,0.831817411,-1.74E-08,7.03E-10,6.07E-13
0.236,4.717854752,22.32831216,0.951921866,683.332229,0.833866915,-1.38E-14,-1.14E-13,-5.73E-15
0.234,4.810953678,22.3812485,0.952644565,683.1211687,0.835935661,-1.06E-12,-4.24E-14,2.21E-13
0.232,4.905784072,22.43580836,0.953361867,682.9065682,0.838011101,9.83E-16,-4.48E-16,-5.35E-13
0.23,5.00237136,22.48978292,0.954076708,682.6896619,0.840083218,-2.76E-12,-3.67E-14,-1.05E-15
0.228,5.100742171,22.54478078,0.954786715,682.4695938,0.842158376,-2.95E-12,-1.99E-12,6.48E-13
0.226,5.200922828,22.6007978,0.955491749,682.2458138,0.8442363,1.64E-13,7.80E-13,1.72E-13
0.224,5.302941927,22.65719002,0.956192613,682.0203518,0.84631331,-1.16E-13,-8.48E-16,1.53E-12
0.22,5.521416137,22.88090126,0.957580573,683.7496634,0.835779533,-6.65E-08,-5.50E-07,-8.06E-13
0.21,6.071200552,23.06404428,0.960969911,680.3929434,0.860564669,-2.11E-09,-8.08E-09,-4.90E-13
0.2,6.682741817,23.36465522,0.96422625,679.0699145,0.871002003,-8.46E-15,-4.62E-16,8.75E-13
0.199,6.747886526,23.43054626,0.964543326,679.6641977,0.868133751,-1.69E-08,-1.35E-07,-1.95E-13
